build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q5_K_XL.gguf","gemma4 E2B Q5_K - Medium","4276181132","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","1024","0","2026-04-10T04:02:46Z","15988649125","73050630","64.046501","0.291427"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q6_K_XL.gguf","gemma4 E2B Q6_K","4694268044","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","16","0","2026-04-10T04:04:09Z","265672158","4046907","60.235583","0.901100"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q6_K_XL.gguf","gemma4 E2B Q6_K","4694268044","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","256","0","2026-04-10T04:04:10Z","4244970149","17946787","60.307530","0.255267"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q6_K_XL.gguf","gemma4 E2B Q6_K","4694268044","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","1024","0","2026-04-10T04:04:31Z","17476668750","137102267","58.595279","0.458505"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q8_K_XL.gguf","gemma4 E2B Q8_0","5253716108","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","16","0","2026-04-10T04:06:02Z","303423867","20355081","52.908374","3.297058"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q8_K_XL.gguf","gemma4 E2B Q8_0","5253716108","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","256","0","2026-04-10T04:06:03Z","4681804124","55857580","54.686032","0.655527"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q8_K_XL.gguf","gemma4 E2B Q8_0","5253716108","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","1024","0","2026-04-10T04:06:27Z","18926849991","43005533","54.103257","0.122696"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-BF16.gguf","gemma4 E2B BF16","9295485068","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","16","0","2026-04-10T04:08:05Z","2094907633","2444817","7.637577","0.008910"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-BF16.gguf","gemma4 E2B BF16","9295485068","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","256","0","2026-04-10T04:08:16Z","33675800625","31856932","7.601903","0.007189"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-BF16.gguf","gemma4 E2B BF16","9295485068","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","1024","0","2026-04-10T04:11:04Z","135376252666","22326300","7.564104","0.001247"
