prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,kl_target_p95,kl_target_p99,top1_target,kl_handoff,kl_handoff_p95,kl_handoff_p99,top1_handoff
14_go_large,gemma4-e2b-bf16,ud-q3_k_xl,9311298688,2915063168,8840,2048,0.174343,0.748977,2.047917,87.2,0.112349,0.473767,1.294254,89.4
15_cpp_medium,gemma4-e2b-bf16,ud-q3_k_xl,9311298688,2915063168,3958,2048,0.146115,0.693121,1.369274,87.1,0.104857,0.503956,1.037794,88.6
16_java_medium,gemma4-e2b-bf16,ud-q3_k_xl,9311298688,2915063168,2400,2048,0.137012,0.612995,1.604959,89.3,0.102888,0.513044,1.119621,90.0
17_rust_large,gemma4-e2b-bf16,ud-q3_k_xl,9311298688,2915063168,9803,2048,0.132761,0.624264,1.496886,88.7,0.091016,0.412472,1.127001,90.6
18_typescript_large,gemma4-e2b-bf16,ud-q3_k_xl,9311298688,2915063168,10613,2048,0.115698,0.604666,1.560640,90.5,0.085048,0.452488,1.153032,91.6
19_cpp_large,gemma4-e2b-bf16,ud-q3_k_xl,9311298688,2915063168,10737,2048,0.180566,0.779182,1.856181,85.4,0.121316,0.502008,1.132975,87.5
01_python_small,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,337,2048,0.015417,0.089494,0.251418,97.2,0.013190,0.073402,0.209645,97.5
02_rust_small,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,540,2048,0.026335,0.149880,0.446155,96.2,0.021662,0.140189,0.336375,96.4
03_go_small,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,396,2048,0.029506,0.140029,0.378307,95.7,0.022357,0.113219,0.254765,96.0
04_cpp_small,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,823,2048,0.027321,0.141438,0.446712,96.0,0.022142,0.123982,0.298934,96.3
05_js_small,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,555,2048,0.038528,0.176125,0.403915,93.1,0.026826,0.125267,0.261039,94.2
06_python2_small,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,582,2048,0.026022,0.134099,0.329511,95.9,0.023580,0.114906,0.311196,95.9
07_c_small,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,751,2048,0.024333,0.124171,0.336703,96.1,0.019979,0.100929,0.280543,96.4
08_java_small,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,840,2031,0.030014,0.160986,0.486572,95.6,0.025412,0.142100,0.422757,95.7
09_python_medium,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,2474,2048,0.037560,0.167999,0.439435,93.4,0.029943,0.142686,0.339789,94.6
10_go_medium,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,2135,2048,0.033079,0.153137,0.340668,94.1,0.025632,0.124753,0.235929,94.3
11_typescript_medium,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,2435,2048,0.036871,0.171039,0.392775,94.3,0.026992,0.129631,0.274825,95.0
12_rust_medium,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,2183,2048,0.045490,0.197222,0.495866,91.9,0.033462,0.152759,0.340649,93.3
13_python_large,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,8959,2048,0.039668,0.171106,0.487660,94.7,0.027288,0.122864,0.286954,95.4
14_go_large,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,8840,2048,0.047755,0.219343,0.576297,92.6,0.030210,0.136033,0.320843,93.9
15_cpp_medium,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,3958,2048,0.042237,0.189972,0.477480,92.6,0.030502,0.133907,0.336700,94.0
16_java_medium,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,2400,2048,0.041934,0.173711,0.483649,93.7,0.031225,0.144451,0.387053,94.6
17_rust_large,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,9803,2048,0.044230,0.204568,0.584816,93.2,0.025974,0.123294,0.313994,94.3
18_typescript_large,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,10613,2048,0.037422,0.168050,0.577788,95.0,0.024292,0.117538,0.288430,96.1
19_cpp_large,gemma4-e2b-bf16,ud-q4_k_xl,9311298688,3174038912,10737,2048,0.052430,0.248847,0.566069,92.6,0.036099,0.164082,0.350250,93.3
01_python_small,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,337,2048,0.005376,0.025743,0.084776,98.8,0.004947,0.021714,0.068254,98.8
02_rust_small,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,540,2048,0.007022,0.039905,0.108311,97.3,0.005535,0.033024,0.082262,97.6
03_go_small,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,396,2048,0.006989,0.035872,0.071526,97.5,0.005566,0.027801,0.058626,97.7
04_cpp_small,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,823,2048,0.007874,0.039538,0.117222,98.1,0.006610,0.034633,0.096240,98.1
05_js_small,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,555,2048,0.009645,0.046896,0.104840,96.5,0.007345,0.034581,0.080725,96.7
06_python2_small,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,582,2048,0.007339,0.040160,0.100890,98.0,0.006834,0.038082,0.093024,98.2
07_c_small,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,751,2048,0.007594,0.041879,0.110476,97.1,0.006156,0.032852,0.085039,97.6
08_java_small,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,840,2031,0.008718,0.043577,0.122174,97.6,0.006805,0.036061,0.095434,97.5
09_python_medium,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,2474,2048,0.012215,0.056371,0.152500,95.9,0.009271,0.043190,0.104612,96.8
10_go_medium,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,2135,2048,0.010828,0.051308,0.129549,97.1,0.008870,0.039734,0.109632,97.4
11_typescript_medium,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,2435,2048,0.010941,0.051242,0.109499,97.5,0.007519,0.036587,0.085544,98.0
12_rust_medium,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,2183,2048,0.012573,0.053402,0.120854,96.1,0.009835,0.043159,0.098913,96.3
13_python_large,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,8959,2048,0.011495,0.052621,0.144097,97.8,0.007540,0.032714,0.088712,97.9
14_go_large,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,8840,2048,0.012916,0.058737,0.160909,96.6,0.007592,0.035500,0.080982,97.6
15_cpp_medium,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,3958,2048,0.013027,0.057403,0.147869,96.0,0.009452,0.041487,0.125664,96.7
16_java_medium,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,2400,2048,0.011983,0.053219,0.143038,97.1,0.008925,0.041334,0.113389,97.1
17_rust_large,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,9803,2048,0.012198,0.063245,0.135869,96.9,0.007489,0.037140,0.082272,96.6
18_typescript_large,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,10613,2048,0.010147,0.047758,0.158420,97.4,0.007168,0.034254,0.097078,97.8
19_cpp_large,gemma4-e2b-bf16,ud-q5_k_xl,9311298688,4291995008,10737,2048,0.014172,0.063409,0.119284,95.7,0.009797,0.044714,0.085030,96.2
01_python_small,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,337,2048,0.001790,0.007795,0.023811,99.4,0.001446,0.006958,0.020382,99.5
02_rust_small,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,540,2048,0.001824,0.009973,0.030082,98.5,0.001513,0.007829,0.025509,98.6
03_go_small,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,396,2048,0.002186,0.010968,0.027211,98.8,0.001659,0.008225,0.021535,99.0
04_cpp_small,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,823,2048,0.001918,0.010847,0.030065,98.9,0.001621,0.009197,0.023226,99.1
05_js_small,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,555,2048,0.002467,0.011297,0.029601,98.3,0.002032,0.010482,0.025201,98.5
06_python2_small,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,582,2048,0.001966,0.011196,0.025727,99.0,0.001641,0.009247,0.022278,99.2
07_c_small,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,751,2048,0.001811,0.010053,0.024510,98.7,0.001565,0.008809,0.023957,98.9
08_java_small,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,840,2031,0.002560,0.012136,0.041884,98.5,0.001954,0.009042,0.032274,98.9
09_python_medium,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,2474,2048,0.003077,0.014067,0.037306,98.2,0.002482,0.011507,0.027795,98.4
10_go_medium,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,2135,2048,0.003031,0.013643,0.034603,98.7,0.002283,0.010537,0.025150,98.5
11_typescript_medium,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,2435,2048,0.002791,0.013130,0.031451,99.0,0.002065,0.009299,0.019821,99.0
12_rust_medium,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,2183,2048,0.003873,0.016510,0.036295,97.8,0.002714,0.012905,0.026177,98.2
13_python_large,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,8959,2048,0.003299,0.016213,0.041161,98.5,0.002407,0.011339,0.026114,98.7
14_go_large,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,8840,2048,0.003701,0.016582,0.042546,97.9,0.002333,0.010421,0.024288,98.6
15_cpp_medium,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,3958,2048,0.003673,0.015931,0.044121,97.9,0.002509,0.011459,0.027944,98.3
16_java_medium,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,2400,2048,0.003330,0.015906,0.036618,97.7,0.002403,0.012224,0.026129,98.3
17_rust_large,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,9803,2048,0.003647,0.014849,0.034184,98.4,0.002245,0.009749,0.024643,98.6
18_typescript_large,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,10613,2048,0.003207,0.011932,0.037493,98.7,0.002140,0.008768,0.022814,98.9
19_cpp_large,gemma4-e2b-bf16,ud-q6_k_xl,9311298688,4710081920,10737,2048,0.004435,0.015539,0.052844,97.7,0.002624,0.010959,0.025708,98.1
01_python_small,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,337,2048,0.000260,0.001046,0.003482,99.9,0.000208,0.000824,0.002508,99.9
02_rust_small,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,540,2048,0.000277,0.001403,0.004610,99.5,0.000205,0.001074,0.002885,99.7
03_go_small,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,396,2048,0.000305,0.001426,0.003753,99.6,0.000236,0.001135,0.003005,99.7
04_cpp_small,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,823,2048,0.000272,0.001526,0.003628,99.5,0.000207,0.001118,0.003024,99.7
05_js_small,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,555,2048,0.000409,0.001954,0.004372,99.1,0.000320,0.001443,0.003496,99.2
06_python2_small,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,582,2048,0.000261,0.001362,0.003714,99.6,0.000218,0.001139,0.002668,99.5
07_c_small,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,751,2048,0.000284,0.001475,0.003620,99.3,0.000218,0.001223,0.002822,99.4
08_java_small,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,840,2031,0.000270,0.001387,0.003713,99.8,0.000218,0.001167,0.002870,99.9
09_python_medium,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,2474,2048,0.000510,0.002076,0.005111,99.2,0.000320,0.001496,0.003166,99.2
10_go_medium,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,2135,2048,0.000460,0.002036,0.005216,99.3,0.000328,0.001358,0.003468,99.5
11_typescript_medium,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,2435,2048,0.000404,0.001989,0.004799,99.3,0.000286,0.001237,0.003735,99.3
12_rust_medium,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,2183,2048,0.000596,0.002256,0.005202,99.0,0.000363,0.001729,0.003397,99.2
13_python_large,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,8959,2048,0.000476,0.001892,0.005857,99.5,0.000312,0.001276,0.003625,99.6
14_go_large,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,8840,2048,0.000475,0.002245,0.005255,99.3,0.000298,0.001339,0.003488,99.5
15_cpp_medium,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,3958,2048,0.000457,0.002203,0.004748,99.1,0.000316,0.001444,0.003326,99.3
16_java_medium,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,2400,2048,0.000436,0.002040,0.004851,99.4,0.000304,0.001495,0.003297,99.5
17_rust_large,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,9803,2048,0.000549,0.002460,0.007066,99.2,0.000321,0.001559,0.003873,99.5
18_typescript_large,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,10613,2048,0.000468,0.002030,0.006593,99.6,0.000322,0.001329,0.003908,99.7
19_cpp_large,gemma4-e2b-bf16,ud-q8_k_xl,9311298688,5269529984,10737,2048,0.000494,0.002177,0.004364,99.2,0.000335,0.001400,0.003349,99.3
