prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,kl_target_p95,kl_target_p99,top1_target,kl_handoff,kl_handoff_p95,kl_handoff_p99,top1_handoff
12_rust_medium,gemma4-26b-a4b-bf16,ud-q3_k_xl,50505130944,12930296832,2183,2048,0.018030,0.090433,0.225296,96.7,0.014565,0.068489,0.183368,96.9
13_python_large,gemma4-26b-a4b-bf16,ud-q3_k_xl,50505130944,12930296832,8959,2048,0.019142,0.090896,0.271935,95.6,0.015813,0.077987,0.223756,95.8
14_go_large,gemma4-26b-a4b-bf16,ud-q3_k_xl,50505130944,12930296832,8840,2048,0.023089,0.110662,0.306162,95.9,0.018140,0.092503,0.244903,96.1
15_cpp_medium,gemma4-26b-a4b-bf16,ud-q3_k_xl,50505130944,12930296832,3958,2048,0.022544,0.107300,0.283153,95.5,0.018063,0.084460,0.246053,95.9
16_java_medium,gemma4-26b-a4b-bf16,ud-q3_k_xl,50505130944,12930296832,2400,2048,0.016905,0.082570,0.232454,96.1,0.013204,0.067326,0.164646,96.5
17_rust_large,gemma4-26b-a4b-bf16,ud-q3_k_xl,50505130944,12930296832,9803,2048,0.027986,0.142905,0.353422,94.5,0.019837,0.095038,0.276130,95.0
18_typescript_large,gemma4-26b-a4b-bf16,ud-q3_k_xl,50505130944,12930296832,10613,2048,0.019226,0.093761,0.271925,96.0,0.015311,0.070822,0.234056,96.8
19_cpp_large,gemma4-26b-a4b-bf16,ud-q3_k_xl,50505130944,12930296832,10737,2048,0.025373,0.115342,0.329522,95.7,0.018731,0.083291,0.233608,96.6
01_python_small,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,337,2048,0.003316,0.016202,0.051366,98.9,0.003071,0.014323,0.037865,98.9
02_rust_small,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,540,2048,0.003484,0.017023,0.048702,98.3,0.002951,0.014324,0.047944,98.7
03_go_small,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,396,2048,0.004111,0.017297,0.084247,98.1,0.003657,0.016252,0.058000,98.1
04_cpp_small,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,823,2026,0.004001,0.020619,0.064922,98.5,0.003562,0.017608,0.052810,98.8
05_js_small,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,555,2048,0.005642,0.026538,0.074075,98.0,0.004556,0.022251,0.069111,98.4
06_python2_small,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,582,1767,0.003685,0.019745,0.053873,98.7,0.002887,0.015771,0.044048,98.8
07_c_small,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,751,2048,0.005185,0.023665,0.067363,98.5,0.003496,0.018417,0.055694,98.6
08_java_small,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,840,1552,0.004683,0.021098,0.091809,99.1,0.003728,0.017409,0.064161,98.8
09_python_medium,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,2474,2048,0.004276,0.020959,0.057524,98.2,0.003528,0.018539,0.047358,98.4
10_go_medium,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,2135,2048,0.004540,0.020343,0.053373,98.2,0.003617,0.016939,0.049677,98.3
11_typescript_medium,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,2435,2048,0.006820,0.031563,0.087749,97.4,0.004704,0.022160,0.070670,97.6
12_rust_medium,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,2183,2048,0.005107,0.022695,0.075811,98.6,0.003792,0.018153,0.046541,98.8
13_python_large,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,8959,2048,0.004996,0.023624,0.059412,97.8,0.003983,0.017532,0.053506,98.1
14_go_large,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,8840,2048,0.005003,0.025618,0.067149,98.5,0.003664,0.019440,0.046646,98.3
15_cpp_medium,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,3958,2048,0.006383,0.031184,0.081228,97.7,0.004185,0.020270,0.053803,98.2
16_java_medium,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,2400,2048,0.004082,0.019910,0.047964,98.1,0.003156,0.015353,0.039061,98.3
17_rust_large,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,9803,2048,0.005629,0.028314,0.066741,97.9,0.003894,0.018085,0.043771,98.0
18_typescript_large,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,10613,2048,0.004767,0.023666,0.067730,97.9,0.003630,0.016206,0.049494,97.9
19_cpp_large,gemma4-26b-a4b-bf16,ud-q4_k_xl,50505130944,17145015296,10737,2048,0.006411,0.031769,0.076343,97.6,0.003925,0.018428,0.048285,98.4
01_python_small,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,337,2048,0.001284,0.005632,0.022374,99.2,0.001246,0.005139,0.017487,99.2
02_rust_small,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,540,2048,0.001721,0.008152,0.029601,98.9,0.001419,0.006867,0.022551,99.0
03_go_small,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,396,2048,0.001386,0.006690,0.021533,99.1,0.001200,0.005272,0.018897,99.2
04_cpp_small,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,823,2026,0.001609,0.008088,0.025792,99.3,0.001432,0.007000,0.027077,99.1
05_js_small,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,555,2048,0.002774,0.012960,0.041807,98.7,0.001965,0.008661,0.029066,98.9
