prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,kl_target_p95,kl_target_p99,top1_target,kl_handoff,kl_handoff_p95,kl_handoff_p99,top1_handoff
11_typescript_medium,gemma4-e4b-ud-q8_k_xl,ud-q3_k_xl,8658661760,4563499392,2435,2048,0.067654,0.276588,0.521126,91.0,0.057319,0.227300,0.483544,91.7
12_rust_medium,gemma4-e4b-ud-q8_k_xl,ud-q3_k_xl,8658661760,4563499392,2183,2048,0.079112,0.316320,0.711470,89.3,0.064343,0.263003,0.511808,90.4
13_python_large,gemma4-e4b-ud-q8_k_xl,ud-q3_k_xl,8658661760,4563499392,8959,2048,0.080119,0.343595,0.684219,89.5,0.063814,0.271809,0.534989,90.4
14_go_large,gemma4-e4b-ud-q8_k_xl,ud-q3_k_xl,8658661760,4563499392,8840,2048,0.065307,0.289063,0.573928,92.7,0.053989,0.239480,0.459824,92.8
15_cpp_medium,gemma4-e4b-ud-q8_k_xl,ud-q3_k_xl,8658661760,4563499392,3958,2048,0.066562,0.286347,0.638670,91.1,0.056720,0.239292,0.569668,91.6
16_java_medium,gemma4-e4b-ud-q8_k_xl,ud-q3_k_xl,8658661760,4563499392,2400,2048,0.075821,0.295739,0.614412,88.9,0.066390,0.264890,0.522019,89.4
17_rust_large,gemma4-e4b-ud-q8_k_xl,ud-q3_k_xl,8658661760,4563499392,9803,2048,0.069340,0.319627,0.614655,91.7,0.052494,0.242807,0.433708,92.3
18_typescript_large,gemma4-e4b-ud-q8_k_xl,ud-q3_k_xl,8658661760,4563499392,10613,2048,0.076699,0.336383,0.678864,89.8,0.062093,0.262801,0.599684,90.4
19_cpp_large,gemma4-e4b-ud-q8_k_xl,ud-q3_k_xl,8658661760,4563499392,10737,2048,0.080096,0.331814,0.716558,88.5,0.064085,0.263145,0.539828,89.9
01_python_small,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,337,2048,0.017332,0.073488,0.191263,96.3,0.015804,0.069362,0.168904,96.4
02_rust_small,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,540,1802,0.015796,0.076222,0.191298,96.8,0.012529,0.060973,0.150237,97.2
03_go_small,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,396,2048,0.017239,0.086189,0.199899,95.6,0.015178,0.078610,0.173020,96.0
04_cpp_small,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,823,2048,0.016090,0.081087,0.208786,96.5,0.013251,0.065760,0.154870,96.6
05_js_small,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,555,2048,0.019912,0.086540,0.180050,95.1,0.016722,0.072876,0.154633,95.4
06_python2_small,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,582,2048,0.014526,0.072167,0.179471,96.7,0.012890,0.063274,0.143336,96.9
07_c_small,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,751,2048,0.016102,0.083624,0.200858,95.9,0.013662,0.068171,0.155002,96.1
08_java_small,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,840,1929,0.017841,0.092171,0.209375,95.5,0.015583,0.081342,0.187368,95.9
09_python_medium,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,2474,2048,0.020664,0.091376,0.177237,94.7,0.017493,0.075578,0.153659,95.6
10_go_medium,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,2135,2048,0.027951,0.115431,0.267439,93.0,0.023093,0.090535,0.222413,94.0
11_typescript_medium,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,2435,2048,0.024686,0.094449,0.210905,93.8,0.018903,0.074140,0.142650,94.9
12_rust_medium,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,2183,2048,0.022575,0.087679,0.210259,94.6,0.017917,0.069003,0.158062,94.9
13_python_large,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,8959,2048,0.026433,0.111673,0.230636,94.0,0.020940,0.089711,0.153699,95.0
14_go_large,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,8840,2048,0.021106,0.098974,0.204129,94.8,0.016500,0.069889,0.152258,95.6
15_cpp_medium,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,3958,2048,0.023673,0.101787,0.236993,94.7,0.019064,0.079500,0.185482,95.4
16_java_medium,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,2400,2048,0.024871,0.097836,0.216985,93.6,0.020824,0.082472,0.162886,93.7
17_rust_large,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,9803,2048,0.024082,0.105313,0.211062,94.6,0.016988,0.072203,0.146056,95.4
18_typescript_large,gemma4-e4b-ud-q8_k_xl,ud-q4_k_xl,8658661760,5101713792,10613,2048,0.022798,0.106647,0.215986,94.4,0.017874,0.082690,0.161628,95.4
