prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,kl_target_p95,kl_target_p99,top1_target,kl_handoff,kl_handoff_p95,kl_handoff_p99,top1_handoff
12_rust_medium,qwen3.5-2b-ud-q8_k_xl,ud-q2_k_xl,2834940160,966533376,2017,2048,0.149648,0.882605,1.859080,90.9,0.114471,0.683381,1.320003,91.4
13_python_large,qwen3.5-2b-ud-q8_k_xl,ud-q2_k_xl,2834940160,966533376,7811,2048,0.160028,0.928649,2.294659,91.2,0.140846,0.810024,1.892685,91.7
14_go_large,qwen3.5-2b-ud-q8_k_xl,ud-q2_k_xl,2834940160,966533376,7904,2048,0.140813,0.909985,2.080333,91.1,0.109265,0.697887,1.522589,91.8
15_cpp_medium,qwen3.5-2b-ud-q8_k_xl,ud-q2_k_xl,2834940160,966533376,3630,2048,0.247892,1.164343,2.458017,85.4,0.195197,0.963172,1.872277,86.2
16_java_medium,qwen3.5-2b-ud-q8_k_xl,ud-q2_k_xl,2834940160,966533376,2192,2048,0.243209,1.247042,2.443433,85.4,0.196394,1.047854,2.038989,86.7
17_rust_large,qwen3.5-2b-ud-q8_k_xl,ud-q2_k_xl,2834940160,966533376,8811,2048,0.213055,1.239833,2.629050,90.1,0.142702,0.832585,2.151902,91.9
18_typescript_large,qwen3.5-2b-ud-q8_k_xl,ud-q2_k_xl,2834940160,966533376,9740,2048,0.104549,0.621966,2.261462,94.9,0.081395,0.449516,1.755953,95.7
01_python_small,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,294,1152,0.070289,0.321523,0.538618,90.5,0.061372,0.278509,0.490123,90.8
02_rust_small,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,508,1312,0.047315,0.257681,0.631292,94.2,0.036099,0.194558,0.488936,94.4
03_go_small,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,331,2048,0.032996,0.187261,0.423903,95.0,0.028642,0.154720,0.445403,95.3
04_cpp_small,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,753,1327,0.071686,0.335385,0.704626,92.2,0.060629,0.276270,0.550257,92.4
05_js_small,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,500,2048,0.051502,0.231239,0.478681,93.4,0.043884,0.207070,0.396351,93.8
06_python2_small,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,508,2048,0.059038,0.290040,0.611965,91.8,0.051561,0.249419,0.511420,92.3
07_c_small,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,679,2048,0.048036,0.242129,0.504465,93.7,0.041393,0.211058,0.440762,93.9
08_java_small,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,756,2048,0.062814,0.301857,0.618677,91.5,0.052414,0.272700,0.486956,91.6
09_python_medium,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,2125,2048,0.030693,0.189439,0.517226,96.4,0.021819,0.130334,0.353961,96.7
10_go_medium,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,1864,2048,0.047163,0.256114,0.549252,94.1,0.038944,0.211742,0.447974,94.3
11_typescript_medium,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,2233,2048,0.060406,0.322031,0.608117,92.3,0.049336,0.257416,0.500013,92.8
12_rust_medium,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,2017,2048,0.039813,0.231075,0.526994,94.9,0.031141,0.187118,0.441929,95.2
13_python_large,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,7811,2048,0.038014,0.228334,0.559481,96.3,0.030804,0.180060,0.440154,96.2
14_go_large,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,7904,2048,0.036853,0.221309,0.595410,94.6,0.028566,0.188768,0.444665,95.3
15_cpp_medium,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,3630,2048,0.058177,0.295349,0.592047,92.9,0.046753,0.240211,0.447149,94.0
16_java_medium,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,2192,2048,0.053919,0.287261,0.619489,92.7,0.045978,0.242186,0.473735,93.3
17_rust_large,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,8811,2048,0.045832,0.262294,0.656271,95.2,0.032917,0.189032,0.470901,95.2
18_typescript_large,qwen3.5-2b-ud-q8_k_xl,ud-q3_k_xl,2834940160,1159274752,9740,2048,0.023631,0.138425,0.474146,97.9,0.019642,0.101970,0.405619,98.3
