prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,kl_target_p95,kl_target_p99,top1_target,kl_handoff,kl_handoff_p95,kl_handoff_p99,top1_handoff
01_python_small,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,337,2048,0.134969,0.718783,1.467973,90.4,0.121208,0.634679,1.277893,90.7
02_rust_small,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,540,1869,0.145732,0.802151,1.739161,90.6,0.128111,0.719282,1.563150,90.7
03_go_small,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,396,2048,0.192555,0.897232,1.695038,86.1,0.175609,0.833021,1.491516,86.8
04_cpp_small,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,823,2048,0.201649,0.997747,2.275239,87.8,0.175925,0.803832,1.979488,87.8
05_js_small,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,555,2048,0.187983,0.844311,1.629200,85.6,0.161682,0.750658,1.309763,86.2
06_python2_small,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,582,2048,0.177343,0.819067,1.858742,87.7,0.154887,0.742835,1.565271,88.1
07_c_small,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,751,2048,0.180567,0.811290,1.884199,86.0,0.155035,0.739400,1.543870,86.9
08_java_small,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,840,1636,0.185328,0.952785,1.785697,87.4,0.164210,0.824289,1.621861,88.7
09_python_medium,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,2474,2048,0.243083,1.009601,1.820345,82.8,0.200685,0.841522,1.556300,84.8
10_go_medium,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,2135,2048,0.284144,1.045138,1.890532,78.2,0.236871,0.849964,1.580930,79.8
11_typescript_medium,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,2435,2048,0.248988,1.018711,1.854259,81.2,0.211560,0.850901,1.577240,82.4
12_rust_medium,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,2183,2048,0.268607,1.021010,1.952913,80.1,0.225112,0.870335,1.600135,81.0
13_python_large,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,8959,2048,0.268483,1.076570,2.064337,80.7,0.215626,0.842211,1.832172,82.7
14_go_large,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,8840,2048,0.267562,1.062197,1.817188,80.7,0.213921,0.843069,1.499592,81.2
15_cpp_medium,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,3958,2048,0.250127,1.088890,1.905807,83.3,0.198763,0.838130,1.617067,84.8
16_java_medium,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,2400,2048,0.271481,1.137577,2.067390,81.3,0.222417,0.907404,1.764919,83.2
17_rust_large,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,9803,2048,0.267703,1.146183,2.104067,82.5,0.184715,0.791694,1.262794,85.4
18_typescript_large,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,10613,2048,0.283438,1.172772,2.360369,82.6,0.215746,0.886968,1.716284,84.8
19_cpp_large,gemma4-e4b-bf16,ud-q2_k_xl,15053090976,3742790016,10737,2048,0.311375,1.135387,2.371953,77.6,0.238189,0.918496,1.731861,81.0
01_python_small,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,337,2048,0.037293,0.205077,0.421046,95.6,0.033159,0.183015,0.372434,96.2
02_rust_small,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,540,1869,0.038170,0.188852,0.457218,95.3,0.031928,0.160627,0.424396,95.7
03_go_small,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,396,2048,0.062935,0.299709,0.708266,91.6,0.049674,0.246453,0.510982,92.4
04_cpp_small,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,823,2048,0.054347,0.265950,0.615620,93.5,0.045491,0.217318,0.480980,94.3
05_js_small,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,555,2048,0.056695,0.272399,0.498569,91.8,0.047442,0.234276,0.401131,92.2
06_python2_small,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,582,2048,0.045912,0.235243,0.593504,93.3,0.041368,0.221790,0.450661,93.7
07_c_small,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,751,2048,0.051241,0.240387,0.556068,92.7,0.045452,0.210163,0.503395,92.9
08_java_small,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,840,1636,0.064262,0.289441,0.657101,91.7,0.056064,0.264996,0.599525,92.5
09_python_medium,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,2474,2048,0.064415,0.271989,0.497204,91.8,0.053997,0.221804,0.435364,92.4
10_go_medium,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,2135,2048,0.079931,0.287901,0.541668,87.7,0.069072,0.247590,0.442690,88.7
11_typescript_medium,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,2435,2048,0.067748,0.286390,0.536556,90.3,0.058131,0.238282,0.442363,91.0
12_rust_medium,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,2183,2048,0.081167,0.323513,0.658422,88.8,0.065519,0.255493,0.524260,89.1
13_python_large,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,8959,2048,0.091876,0.352433,0.745335,88.5,0.070933,0.279079,0.537222,90.0
14_go_large,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,8840,2048,0.073960,0.303613,0.585248,89.1,0.062608,0.266249,0.497193,90.2
15_cpp_medium,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,3958,2048,0.067399,0.304114,0.640293,91.1,0.055030,0.244850,0.508048,91.7
16_java_medium,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,2400,2048,0.070004,0.300438,0.628993,90.0,0.059809,0.247504,0.505578,90.3
17_rust_large,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,9803,2048,0.072820,0.303418,0.594546,90.1,0.056441,0.241383,0.468148,92.0
18_typescript_large,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,10613,2048,0.076415,0.352059,0.780388,90.6,0.060181,0.266845,0.583755,91.7
19_cpp_large,gemma4-e4b-bf16,ud-q3_k_xl,15053090976,4563499392,10737,2048,0.082642,0.320009,0.631275,87.5,0.066712,0.254482,0.540443,89.2
01_python_small,gemma4-e4b-bf16,ud-q4_k_xl,15053090976,5101713792,337,2048,0.012538,0.066837,0.140712,96.8,0.011306,0.058714,0.134875,97.2
02_rust_small,gemma4-e4b-bf16,ud-q4_k_xl,15053090976,5101713792,540,1869,0.014514,0.077162,0.180908,96.7,0.011497,0.058326,0.141009,97.0
03_go_small,gemma4-e4b-bf16,ud-q4_k_xl,15053090976,5101713792,396,2048,0.017791,0.085816,0.180197,95.8,0.016165,0.075607,0.165864,96.3
04_cpp_small,gemma4-e4b-bf16,ud-q4_k_xl,15053090976,5101713792,823,2048,0.018923,0.094007,0.210608,96.2,0.015509,0.077589,0.189140,96.3
05_js_small,gemma4-e4b-bf16,ud-q4_k_xl,15053090976,5101713792,555,2048,0.017566,0.082866,0.156815,95.4,0.015439,0.071599,0.133198,96.1
06_python2_small,gemma4-e4b-bf16,ud-q4_k_xl,15053090976,5101713792,582,2048,0.015018,0.071350,0.188819,96.2,0.013239,0.063979,0.180629,96.6
07_c_small,gemma4-e4b-bf16,ud-q4_k_xl,15053090976,5101713792,751,2048,0.017787,0.091234,0.180513,95.5,0.014966,0.074882,0.159037,95.8
08_java_small,gemma4-e4b-bf16,ud-q4_k_xl,15053090976,5101713792,840,1636,0.017250,0.086796,0.172762,96.3,0.015213,0.075112,0.156881,97.0
09_python_medium,gemma4-e4b-bf16,ud-q4_k_xl,15053090976,5101713792,2474,2048,0.021003,0.090306,0.175970,95.1,0.017244,0.074358,0.134460,95.6
10_go_medium,gemma4-e4b-bf16,ud-q4_k_xl,15053090976,5101713792,2135,2048,0.025976,0.093259,0.199748,92.7,0.021190,0.083489,0.144148,93.8
11_typescript_medium,gemma4-e4b-bf16,ud-q4_k_xl,15053090976,5101713792,2435,2048,0.022993,0.091813,0.192308,93.9,0.018401,0.072854,0.156406,94.7
12_rust_medium,gemma4-e4b-bf16,ud-q4_k_xl,15053090976,5101713792,2183,2048,0.025897,0.100904,0.229362,92.6,0.021473,0.085915,0.168542,93.1
13_python_large,gemma4-e4b-bf16,ud-q4_k_xl,15053090976,5101713792,8959,2048,0.027091,0.115370,0.228634,93.7,0.019826,0.082308,0.145946,94.3
14_go_large,gemma4-e4b-bf16,ud-q4_k_xl,15053090976,5101713792,8840,2048,0.024541,0.104831,0.201519,93.5,0.019610,0.077265,0.174289,94.1
